"","id","personagem","diálogo"
"241","241","BEN","Vader o humilhou quando você o conheceu, Luke... Vader então, você poderia ter terminado seu treinamento aqui com Yoda. Você estaria preparado."
"242","242","LUKE","Mas eu tinha que ajudar meus amigos."
"243","243","BEN","E você os ajudou? Foram eles que tiveram que salvá-lo. Você conseguiu pouco ao voltar prematuramente, eu temo."
"244","244","LUKE","Descobri que Darth Vader era meu pai."
"245","245","BEN","Para ser um Jedi, Luke, você deve enfrentar e ir além do lado sombrio - o lado que seu pai não conseguiu passar. A impaciência é a porta mais fácil - para você, como seu pai. Só que, seu pai foi seduzido pelo que encontrou do outro lado da porta, e você se manteve firme. Você não é mais tão imprudente agora, Luke. Você é forte e paciente. E agora, você deve enfrentar Darth Vader novamente!"
"246","246","LUKE","Não posso matar meu próprio pai."
"247","247","BEN","Então o Imperador já venceu. Você era nossa única esperança."
"248","248","LUKE","Yoda falou de outro."
"249","249","BEN","A outra de quem ele falou é sua irmã gêmea."
"250","250","LUKE","Mas eu não tenho irmã."
"251","251","BEN","Hmm. Para proteger vocês dois do Imperador, vocês foram escondidos de seu pai quando nasceram. O Imperador sabia, como eu, que se Anakin tivesse filhos, eles seriam uma ameaça ele. Essa é a razão pela qual sua irmã permanece seguramente anônima."
"252","252","LUKE","Leia! Leia é minha irmã."
"253","253","BEN","Sua percepção lhe serve bem. Enterre seus sentimentos bem no fundo, Luke. Eles lhe dão crédito. Mas eles podem ser feitos para servir ao Imperador."
"254","254","BEN","Quando seu pai foi embora, ele não sabia que sua mãe estava grávida. Sua mãe e eu sabíamos que ele descobriria eventualmente, mas queríamos manter vocês dois o mais seguros possível, pelo maior tempo possível. Então eu a levei para morar com meu irmão Owen em Tatooine... e sua mãe levou Leia para viver como filha do senador Organa, em Alderaan ."
"255","255","BEN","A família Organa era bem nascida e politicamente bastante poderosa naquele sistema. Leia se tornou uma princesa em virtude da linhagem... ninguém sabia que ela havia sido adotada, é claro. Mas era um título. sem poder real, já que Alderaan era uma democracia há muito tempo. Mesmo assim, a família continuou a ser politicamente poderosa, e Leia, seguindo o caminho de seu pai adotivo, tornou-se senadora também. Isso não é tudo o que ela se tornou, é claro... ela se tornou a líder de sua célula na Aliança contra o Império corrupto. E porque ela tinha imunidade diplomática, ela era um elo vital para obter informações para a causa Rebelde. Isso é o que ela estava fazendo quando seu caminho cruzou o seu... por ela pais adotivos sempre disseram a ela para entrar em contato comigo em Tatooine, se seus problemas se tornassem desesperados."
"256","256","LUKE","Mas você não pode deixar ela se envolver agora, Ben. Vader vai destruí-la."
"257","257","BEN","Ela não foi treinada nos caminhos dos Jedi como você, Luke... Você deve enfrentar e destruir Vader!"
"258","258","HAN","Bem, olhe para você, um general, hein?"
"259","259","LANDO","Ah, bem, alguém deve ter contado a eles sobre minha pequena manobra na batalha de Taanab ."
"260","260","HAN","Bem, não olhe para mim, amigo. Eu acabei de dizer que você era um bom piloto. Eu não sabia que eles estavam procurando alguém para liderar esse ataque maluco."
"261","261","LANDO","Estou surpreso que eles não pediram para você fazer isso."
"262","262","HAN","Bem, quem disse que não. Mas eu não sou louco. Você é o respeitável, lembra?"
"263","263","MON MOTHMA","O Imperador cometeu um erro crítico e chegou a hora do nosso ataque."
"264","264","MON MOTHMA","Os dados trazidos a nós pelos espiões Bothan indicam a localização exata da nova estação de batalha do Imperador. Também sabemos que os sistemas de armas desta Estrela da Morte ainda não estão operacionais. Com a Frota Imperial espalhada por toda parte a galáxia em um esforço em vão para nos envolver, ela está relativamente desprotegida. Mas o mais importante de tudo, nós aprendemos que o próprio Imperador está supervisionando pessoalmente os estágios finais da construção desta Estrela da Morte."
"265","265","MON MOTHMA","Muitos Bothanos morreram para nos trazer esta informação. Almirante Ackbar , por favor."
"266","266","ACKBAR","Você pode ver aqui a Estrela da Morte orbitando a lua florestal de Endor. Embora os sistemas de armas desta Estrela da Morte ainda não estejam operacionais, a Estrela da Morte tem um forte mecanismo de defesa. Ela é protegida por uma energia escudo, que é gerado a partir da floresta próxima Lua de Endor. O escudo deve ser desativado se qualquer ataque for tentado. Uma vez que o escudo é derrubado, nossos cruzadores criarão um perímetro, enquanto os caças voam para a superestrutura e tentam derrubar fora do reator principal."
"267","267","ACKBAR","General Calrissian se ofereceu para liderar o ataque do caça"
"268","268","HAN","Boa sorte."
"269","269","HAN","Você vai precisar."
"270","270","ACKBAR","General Madine ."
"271","271","GENERAL MADINE","Nós roubamos uma pequena nave Imperial. Disfarçada como uma nave de carga, e usando um código imperial secreto, uma equipe de ataque vai pousar na lua e desativar o gerador de escudo."
"272","272","THREEPIO","Parece perigoso."
"273","273","LEIA","Eu me pergunto quem eles encontraram para fazer isso."
"274","274","GENERAL MADINE","General Solo, sua equipe de ataque está montada?"
"275","275","HAN","Uh, minha equipe está pronta. Eu não tenho uma tripulação de comando para o ônibus espacial."
"276","276","HAN","Bem, vai ser difícil, amigo. Eu não queria falar por você."
"277","277","HAN","É um."
"278","278","LEIA","Uh, General... conte comigo."
"279","279","VOZ","Estou com você também!"
"280","280","LEIA","O que é?"
"281","281","LUKE","Pergunte-me de novo algum dia."
"282","282","HAN","Luke."
"283","283","LUKE","Oi, Han... Chewie."
"284","284","THREEPIO","""Excitante"" dificilmente é a palavra que eu usaria."
"285","285","HAN","Olha. Eu quero que você a leve. Estou falando sério. Leve ela. Você precisa de toda a ajuda que puder. Ela é a nave mais rápida da frota."
"286","286","LANDO","Tudo bem, velho amigo. Você sabe, eu sei o que ela significa para você. Eu vou cuidar bem dela. Ela-ela não vai levar um arranhão. Tudo bem?"
"287","287","HAN","Certo. Recebi sua promessa agora. Nem um arranhão."
"288","288","LANDO","Olha, pode ir, seu pirata."
"289","289","LANDO","Boa sorte."
"290","290","HAN","Você também."
"291","291","HAN","Você a aqueceu?"
"292","292","LUKE","Sim, ela está chegando ."
"293","293","HAN","Não. Eu não acho que o Império tinha Wookiees em mente quando eles a projetaram, Chewie."
"294","294","LEIA","Ei, você está acordado?"
"295","295","HAN","Sim, eu só tenho uma sensação engraçada. Como se eu não fosse vê -la novamente."
"296","296","LEIA","Vamos, general, vamos embora."
"297","297","HAN","Certo. Chewie, vamos ver o que esse pedaço de lixo pode fazer. Pronto, pessoal?"
"298","298","LUKE","Tudo pronto."
"299","299","THREEPIO","Aqui vamos nós de novo."
"300","300","HAN","Tudo bem, espere."
"301","301","VADER","Qual é a tua ordem, meu Mestre?"
"302","302","IMPERADOR","Envie a frota para o outro lado de Endor. Lá ela ficará até ser chamada."
"303","303","VADER","E os relatórios da frota Rebelde se concentrando perto de Sullust ?"
"304","304","IMPERADOR","Não é uma preocupação. Em breve a Rebelião será esmagada e o jovem Skywalker será um de nós! Seu trabalho aqui está terminado, meu amigo. Vá para a nave de comando e aguarde minhas ordens."
"305","305","VADER","Sim, meu Mestre."
"306","306","HAN","Se eles não fizerem isso, nós vamos ter que sair daqui bem rápido, Chewie."
"307","307","CONTROLADOR","Temos você em nossa tela agora. Por favor, identifique-se."
"308","308","HAN","Shuttle Tydirium solicitando a desativação do escudo defletor."
"309","309","CONTROLADOR","Shuttle Tydirium , transmita o código de liberação para passagem do escudo."
"310","310","HAN","Início da transmissão."
"311","311","LEIA","Agora vamos descobrir se aquele código vale o preço que pagamos."
"312","312","HAN","Vai funcionar. Vai funcionar."
"313","313","LUKE","Vader está naquele navio."
"314","314","HAN","Agora não fique nervoso, Luke. Há um monte de naves de comando. Mantenha distância, Chewie, mas não pareça que você está tentando manter distância."
"315","315","HAN","Não sei. Voe casual."
"316","316","LUKE","Estou colocando a missão em perigo. Eu não deveria ter vindo."
"317","317","HAN","É sua imaginação, garoto. Vamos lá. Vamos manter um pouco de otimismo aqui."
"318","318","VADER","Para onde vai essa nave?"
"319","319","PIETT","Shuttle Tydirium , qual é a sua carga e destino?"
"320","320","PILOT VOICE","Peças e equipe técnica para a lua da floresta."
"321","321","VADER","Eles têm uma autorização de código?"
"322","322","PIETT","É um código mais antigo, senhor, mas confere. Eu estava prestes a limpá-los."
"323","323","PIETT","Devo segurá-los?"
"324","324","VADER","Não. Deixe-os comigo. Eu mesmo lidarei com eles."
"325","325","PIETT","Como desejar, meu senhor. Continue."
"326","326","HAN","Eles não vão fazer isso, Chewie."
"327","327","CONTROLLER","Shuttle Tydirium , a desativação do escudo começará imediatamente. Siga seu curso atual."
"328","328","HAN","Ok! Eu disse que ia funcionar. Sem problemas."
"329","329","THREEPIO","Ah, eu disse que era perigoso aqui."
"330","330","LEIA","Vamos tentar dar uma volta?"
"331","331","HAN","Vai levar tempo. Essa festa inteira não valerá nada se eles nos virem."
"332","332","HAN","Chewie e eu cuidaremos disso. Você fica aqui."
"333","333","LUKE","Silenciosamente, pode haver mais deles por aí."
"334","334","HAN","Ei... sou eu."
"335","335","ESCUTEIRO #1","Vá em busca de ajuda! Vá!"
"336","336","LUKE","Ótimo. Vamos lá."
"337","337","LEIA","Ali! Mais dois!"
"338","338","LUKE","Eu os vejo. Espere, Leia!"
"339","339","LUKE","Rápido! Bloqueie o comlink deles . Interruptor central!"
"340","340","HAN","Ei, espere! Ahhh !"
"341","341","LUKE","Aproxime-se!"
"342","342","LUKE","Fique ao lado daquele!"
"343","343","LUKE","Pegue-o!"
"344","344","LUKE","Continue com essa! Vou levar esses dois!"
"345","345","THREEPIO","Oh, General Solo, alguém está vindo. Oh!"
"346","346","HAN","Luke! Onde está Leia?"
"347","347","LUKE","O quê? Ela não voltou?"
"348","348","HAN","Eu pensei que ela estava com você."
"349","349","LUKE","Nós nos separamos."
"350","350","LUKE","Ei, é melhor irmos procurá-la."
